Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
0.18,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,205484,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,206897,1804,33580,1413,
1.08,CAMERA_IP,,DOMAIN_IP,,TCP,1467,8,TCP Out-Of-Order,180050,1804,33580,1413,
0.23,CAMERA_IP,,DOMAIN_IP,,TCP,1467,8,TCP Out-Of-Order,181463,1804,33580,1413,
0.22,CAMERA_IP,,DOMAIN_IP,,TCP,1467,8,TCP Out-Of-Order,182876,1804,33580,1413,
0.23,CAMERA_IP,,DOMAIN_IP,,TCP,1467,8,TCP Out-Of-Order,184289,1804,33580,1413,
0.22,CAMERA_IP,,DOMAIN_IP,,TCP,1467,8,TCP Out-Of-Order,185702,1804,33580,1413,
0.23,CAMERA_IP,,DOMAIN_IP,,TCP,1467,8,TCP Out-Of-Order,187115,1804,33580,1413,
0.23,CAMERA_IP,,DOMAIN_IP,,TCP,1467,8,TCP Out-Of-Order,188528,1804,33580,1413,
0.87,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,208310,1804,33580,1413,
0.2,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,209723,1804,33580,1413,
0.61,CAMERA_IP,,DOMAIN_IP,,TCP,1467,4,TCP Out-Of-Order,189941,1804,33580,1413,
2.28,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,187115,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,187115,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,188528,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,188528,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,189941,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,189941,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,191354,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,43,TCP DOM Duplicate ACK,1804,191354,65535,0,
0.04,DOMAIN_IP,,CAMERA_IP,,TCP,60,42,TCP DOM Duplicate ACK,1804,191354,65535,0,
0.44,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,211136,1804,33580,1413,
3.52,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,212549,1804,33580,1413,
0.25,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,213962,1804,33580,1413,
0.2,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,215375,1804,33580,1413,
2.13,CAMERA_IP,,DOMAIN_IP,,TCP,1467,8,TCP Out-Of-Order,198419,1804,33580,1413,
0.25,CAMERA_IP,,DOMAIN_IP,,TCP,1467,56,TCP PSH Retransmission,177224,1804,33580,1413,
4.39,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,192767,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,192767,65535,0,
0.05,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,194180,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,194180,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,195593,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,195593,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,197006,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,197006,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,198419,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,2,TCP DOM Duplicate ACK,1804,198419,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM Duplicate ACK,1804,198419,65535,0,
3.46,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,199832,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,34,TCP DOM Duplicate ACK,1804,199832,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,33,TCP DOM Duplicate ACK,1804,199832,65535,0,
8.03,CAMERA_IP,,DOMAIN_IP,,TCP,1467,120,TCP PSH Retransmission,189941,1804,33580,1413,
1.82,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,201245,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,201245,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,202658,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,202658,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,204071,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,204071,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,205484,65535,0,
0.01,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,205484,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,206897,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,206897,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,208310,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,18,TCP DOM Duplicate ACK,1804,208310,65535,0,
0.06,DOMAIN_IP,,CAMERA_IP,,TCP,60,17,TCP DOM Duplicate ACK,1804,208310,65535,0,
0.22,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,216788,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,218201,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,219614,1804,33580,1413,
0.18,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,221027,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,222440,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,223853,1804,33580,1413,
0.18,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,225266,1804,33580,1413,
3.94,CAMERA_IP,,DOMAIN_IP,,TCP,1467,8,TCP Out-Of-Order,212549,1804,33580,1413,
0.47,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,209723,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,209723,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,211136,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,11,TCP DOM Duplicate ACK,1804,211136,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,10,TCP DOM Duplicate ACK,1804,211136,65535,0,
1.17,CAMERA_IP,,DOMAIN_IP,,TCP,1467,104,TCP PSH Retransmission,191354,1804,33580,1413,
0.25,CAMERA_IP,,DOMAIN_IP,,TCP,1467,1200,TCP PSH Retransmission,198419,1804,33580,1413,
1.14,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,212549,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,54,17,TCP DOM Duplicate ACK,1804,212549,65535,0,
0.04,DOMAIN_IP,,CAMERA_IP,,TCP,60,16,TCP DOM Duplicate ACK,1804,212549,65535,0,
3.45,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,213962,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,213962,65535,0,
0.05,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,215375,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,215375,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,216788,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,52,TCP DOM Duplicate ACK,1804,216788,65535,0,
3.89,DOMAIN_IP,,CAMERA_IP,,TCP,60,51,TCP DOM Duplicate ACK,1804,216788,65535,0,
0.9,CAMERA_IP,,DOMAIN_IP,,TCP,1467,64,TCP PSH Retransmission,199832,1804,33580,1413,
1.63,CAMERA_IP,,DOMAIN_IP,,TCP,1467,984,TCP PSH Retransmission,208310,1804,33580,1413,
2.51,CAMERA_IP,,DOMAIN_IP,,TCP,1467,156,TCP PSH Retransmission,209723,1804,33580,1413,
4.5,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,221027,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,221027,65535,0,
0.31,CAMERA_IP,,DOMAIN_IP,,TCP,1467,36,TCP PSH Retransmission,212549,1804,33580,1413,
1.6,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,222440,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,222440,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,223853,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,223853,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,225266,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,225266,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,226679,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,650,TCP DOM Duplicate ACK,1804,226679,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,649,TCP DOM Duplicate ACK,1804,226679,65535,0,
160.76,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,228092,1804,33580,1413,
0.21,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,229505,1804,33580,1413,
0.25,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,230918,1804,33580,1413,
0.09,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,232331,1804,33580,1413,
0.24,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,233744,1804,33580,1413,
0.2,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,235157,1804,33580,1413,
0.2,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,236570,1804,33580,1413,
26.25,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,233744,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,233744,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,235157,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,235157,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,236570,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,236570,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,237983,65535,0,
