Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
371.7,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,24421,TCP_PSH_Retransmission,83966,1804,33580,1413,
421.4,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,847,TCP_CAM_PSH_ACK,148964,1804,33580,1413,
93.83,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,93857,65535,0,
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1239,TCP_DOM_Duplicate_ACK,1804,93857,65535,0,
0.01,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1239,TCP_DOM_Duplicate_ACK,1804,93857,65535,0,
21.75,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,20,TCP_PSH_Retransmission,85379,1804,33580,1413,
388.77,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,96683,65535,0,
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,979,TCP_DOM_Duplicate_ACK,1804,96683,65535,0,
0.01,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,978,TCP_DOM_Duplicate_ACK,1804,96683,65535,0,
17.66,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,56,TCP_PSH_Retransmission,93857,1804,33580,1413,
31.07,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,20,TCP_CAM_PSH_ACK,150377,1804,33580,1413,
0.19,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,151790,1804,33580,1413,
0.2,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,153203,1804,33580,1413,
0.26,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,27,TCP_CAM_PSH_ACK,154616,1804,33580,1413,
9.41,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,156029,1804,33580,1413,
0.09,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,157442,1804,33580,1413,
647.72,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,1211,TCP_CAM_PSH_ACK,158855,1804,33580,1413,
0.69,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,651,TCP_CAM_PSH_ACK,160268,1804,33580,1413,
0.19,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,280,TCP_Out_Of_Order,158855,1804,33580,1413,
95.57,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,161681,65535,0,
